State,Jun 24 Value,Jun 24 Low CI,Jun 24 High CI,Urban,Rural,Conservative,Moderate,Liberal,Political Don't know,Political sum,Below Poverty Line,White,Black,AI_AN,Asian,NHPI,Hispanic,Multiple,Percent of total pop with at least one dose,Percent of pop with an updated (bivalent) booster dose,Percent of 5+ pop with a completed primary series,Percent of 12+ pop with at least one dose,Percent of 18+ pop with a completed primary series,Percent of 65+ pop with a completed primary series,Paid sick leave,Eviction moratoria duration,7/11/22,8/8/22,9/26/22,10/17/22,11/14/22,12/19/22,1/16/23,2/13/23,3/13/23,4/10/23,5/8/23,6/19/23,7/10/23,8/7/23,9/4/23,10/2/23,10/30/23,2/5/24,3/4/24,4/1/24,4/29/24,5/27/24,6/24/24,Avg
Georgia,3.4,2.3,4.9,74.1,25.9,42,32,20,6,100,12.6,0.504027353,0.320931256,0.002295087,0.046735434,0.000723182,0.085797273,0.039490415,68.6,10.6,61.1,77.9,67.7,86.8,0,0,6.6,8.7,8.2,6.6,6.3,6,5.6,6.9,6.7,6.2,6.3,6.7,5.4,5.3,5.1,4.5,5.9,7.6,7.5,4.6,4.3,7.3,3.4, 6.2 
Hawaii,4.1,2.5,6.2,86.1,13.9,30,42,21,6,99,10.6,0.212881441,0.019471655,0.002114296,0.358978222,0.095339107,0.039348117,0.271867163,91.7,22.8,86.4,95,90.5,95,0,519,2.9,4.7,4.9,2.5,4.3,4.9,3.3,2.9,2.7,5.6,3.6,4.5,6.9,3.7,5.8,4.2,6.6,3.6,4.9,4.1,3.7,3.5,4.1, 4.3 
Idaho,4.2,2.7,6.4,69.2,30.8,42,32,21,5,100,10.2,0.807101272,0.007948807,0.010231389,0.015307114,0.001864331,0.119132062,0.038415024,64.1,13.9,60.4,73.6,67.9,90.6,0,46,10.5,7.8,9.8,8.1,8.7,5.6,6.8,5,7.4,6.1,5.7,8.2,6.2,9.6,6.4,6.8,6.1,6.5,6,6.9,9,5.7,4.2, 7.1 
Illinois,4.8,3.5,6.5,86.9,13.1,32,35,27,6,100,12,0.594780795,0.140990819,0.001563261,0.061158563,0.000298124,0.166034787,0.035173651,79.2,20.3,75.4,86.9,79.9,91.3,0,562,8.3,9.7,4.8,6.6,5,7,3.8,5.6,6.5,5.6,5.6,7.4,4.2,5.4,5.9,4.4,4.3,6.6,6.3,7.7,6.6,6.2,4.8, 6.0 
Indiana,7.8,5.5,10.6,71.2,28.8,41,31,20,8,100,12.4,0.770385701,0.098846823,0.002304539,0.027616124,0.00043158,0.069203489,0.031211744,64.6,11.2,61.6,72.8,68,89.9,0,149,6.6,4.8,8.9,10,8.9,6.1,6.6,7.2,6.9,8.2,5.9,5.2,6.5,6.6,5.9,6,6.4,7.7,7.1,6,7.8,6,7.8, 6.9 
Iowa,6.1,4.2,8.5,63.2,36.8,41,31,23,6,101,11,0.837301911,0.042000714,0.003113872,0.027131242,0.002009675,0.060947653,0.027494933,70.9,20.1,68.4,79.5,74.9,95,0,70,9.7,11.3,6.3,6.2,7.2,6.9,6.6,5.3,6.1,5.4,6.1,4.8,7.7,5.9,4.3,5,5.9,6.3,6.3,5.8,4.3,4.7,6.1, 6.3 
Kansas,5.7,4.2,7.5,72.3,27.7,39,31,27,3,100,12.3,0.743386616,0.057721941,0.007843658,0.031290196,0.001160989,0.115152444,0.043444155,76.5,15.9,69.6,86.2,76.3,95,0,374,6.8,7.5,8.1,5.8,7.1,6,6.7,6.5,7.5,7.2,7.4,8,5.9,5,5.6,4.3,5.8,6.6,8.8,7.2,5.2,5.5,5.7, 6.5 
Kentucky,7,5.2,9.2,58.7,41.3,42,29,23,6,100,16.9,0.832032374,0.083858157,0.00210779,0.01715219,0.000849011,0.03672753,0.027272949,69.1,12.6,63.4,78,69.9,89.5,0,291,10,6.4,6.8,10.6,8.8,7.1,5,5.1,8.4,8.6,6.8,6.4,6.8,8.9,4.7,8.5,5.3,9.3,7.6,8.4,7.9,7.1,7, 7.5 
Louisiana,4.1,2.6,6,71.5,28.5,50,30,14,6,100,18.5,0.577938936,0.321928849,0.006536476,0.018614491,0.00038669,0.047070731,0.027523827,62.9,7.7,58.8,72.2,66,87.4,0,91,7.5,6.4,7.2,11.3,6.4,5.5,5.5,6.2,5.9,4.5,5.9,6.6,4.1,5.1,5.3,5.2,6.2,4.9,5.8,5.4,5.2,5.3,4.1, 5.9 
Maine,4.9,3.1,7.5,38.6,61.4,34,33,30,3,100,10.3,0.921945515,0.018715983,0.006357284,0.013529531,0.000320499,0.017323545,0.021807643,95,31.2,87.2,95,91.9,95,0,247,7.1,,,5.5,6.7,6.5,7.1,7.9,7.4,5.9,6.4,5.6,5.2,7.4,5.5,5.7,5.7,9.2,5.9,6.6,8.2,6.7,4.9, 6.5 
Maryland,5.1,3.5,7.2,85.6,14.4,26,36,29,9,100,9.6,0.482762877,0.303888292,0.002377747,0.069078587,0.000490214,0.089972521,0.051429763,92.1,24.4,84.3,95,88.6,95,1,764,5.8,5.8,6.9,5.2,7,4.2,5.5,5.1,5.3,6.1,4.4,4.3,6,4.4,4.2,3.9,3.9,5.5,5.4,6.5,4.6,7.3,5.1, 5.3 
Massachusetts,4.3,3.2,5.6,91.3,8.7,23,35,36,6,100,10.4,0.695529803,0.075402028,0.001818683,0.075897876,0.00045861,0.098851414,0.052041586,95,31,88.3,95,91.8,95,1,1221,6.9,5.2,6,7.4,6.5,5.5,5.7,4.4,7.4,5,5.9,5.9,5.3,5.9,5.2,6,5.4,4.9,5.2,6.4,4.1,6.3,4.3, 5.7 
